문장,유형,극성,시제,확실성,label
"비가 오는 지역에는 폭풍과 함께 폭풍이 있을 것이며, 일부 지역에는 폭풍이 떨어지는 장소가 있을 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"""당신이 처음부터 OTT 사업을 성장시키고 싶었다면, Cupplay의 'Time to Market'는 2 년이 걸렸을 것입니다.""",예측형,부정,과거,확실,예측형-부정-과거-확실
바다에는 폭풍이 폭풍으로 타는 곳들이 있을 것이다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
정부는 단기 유동성에 기여하는 무역 자금을 지원하고 금융으로 기업 자금을 적극적으로 제거할 것이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
외국 석탄 발전소와 광산은 또한 $ 1.9 억을 처분 할 계획이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
7월 14~17일 코스에서 개최되는 전시회에는 재무 전문가들의 새해 재무 설계 강의도 포함하여 다양한 강의가 개최된다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
우리는 사용자와 게임에 대한 더 많은 세부 사항을 공유하고 직접 게임을 소개 할 것이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"이 목적을 위해, 7 월 1 일, 우리는 'Wimix3.0'의 테스트 네트워크와 Wimix 지갑 및 정부 앱을 출시 할 것이다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
사용자 확장을 바탕으로 VideoMonster는 글로벌 진보를 가속화 할 계획이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
재단은 토큰을 사용하여 정부의 분산화를 촉진하고 감시 노드의 건설 및 운영에 대한 보상을 제공함으로써 보안 수준을 높일 것이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
이 날 시작된 유아 사건은 잠시 동안 어려울 것으로 예상된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
서울에 거주하는 회사 멤버 A는 8월에 폐암 수술을 받을 예정이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"미시시피 농도는 전체 영역이 ""좋은"" ~ ""일반적으로"" 수준인 것처럼 보일 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"태풍 번호 9 ""미샤크""는 앞으로 2 ~ 3 일 동안 강한 바람과 함께 400mm 이상의 물 폭탄이있는 일부 지역에 영향을 미칠 것으로 전망된다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
정부는 비트코인에 투자하는 사람들의 세율이 높아지는 것을 반영하고 2 년 후에 가정에서 가상 자산 상황을 발표 할 계획을 추진한다.,예측형,긍정,현재,확실,예측형-긍정-현재-확실
또한 주택 사업을 상속받고자 하는 회사가 주택 임대 및 상속 세금 임대를 선택할 수 있도록 새로운 지불 임대 시스템을 설정할 계획이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"시스템 반도체에 대한 수요는 2030 년에 3,400에 도달 할 것으로 전망되며, 실제 공급 용량은 900에 도달 할 전망이다.",예측형,긍정,과거,확실,예측형-긍정-과거-확실
"그러나 행동 심리학자 B. F. Skinner와 상담했다면 성장 과정, 사건의 실제 경험을 살펴 보았을 것이다.",예측형,긍정,과거,불확실,예측형-긍정-과거-불확실
이 계약을 통해 두 회사는 블록체인 기반 엔터테인먼트 생태계의 확장을 공동으로 촉진하기 위해 스튜디오 산타클로스 소유의 아티스트와 컨텐츠 보유자에게 NFT 기술을 적용 할 계획이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"오버데임의 강수 대표는 2020년 2월에 사우디 아라비아로의 선박이 발사될 예정이며, 오버데임의 제품을 운반하는 선박은 계속해서 우리나라의 항구를 떠날 것이라고 말했다.",예측형,긍정,현재,확실,예측형-긍정-현재-확실
여기서 우리는 전략적 관련성을 높이기 위해 다양한 NFT를 사용할 계획이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"이러한 이유로, 그들은 럭셔리 카드와 같은 개인 주식 기금과 함께 일부 주식을 투자하거나 별도의 개인 주식 기금을 형성하고 주요 주식을 갖는 방법을 취할 것처럼 보인다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"""미국의 가상 자산 규제는 일부 조정 효과를 가질 것이지만 Bitcoin과 Ethereum은 상품이 될 것입니다.""",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
360개 가구 Yuan제일 1은 재건 프로젝트가 완료되면 총 554개의 집으로 대체될 전망이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"서쪽 해안과 수도 지역의 일부, 그리고 시골의 북쪽에는 아침에 비가 내리는 곳이 있겠다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"한편, 17일의 온도는 내부와 외부에서 3~5도 상승할 것이며, 전날과 비교하면 평소보다 약간 높아질 것이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
또한 중국과 미국 외부에서 제작된 비영어 영화는 전 세계적으로 결코 이루어지지 않은 수익을 5억 달러에 달할 것으로 추정된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
우크라이나 전쟁 이후 유럽 연합 (EU)에서 LNG에 대한 수요가 증가하면 국내 한국 선박에 긍정적 인 영향을 미칠 것으로 예상된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
이달 24~27일 스페인 바르셀로나에서 개최되는 세계 최대의 모바일 세계 대회에 참여하는 국내 기업의 수는 줄어들 것으로 보인다.,예측형,부정,현재,불확실,예측형-부정-현재-불확실
"다음날 아침 18일, 최대 온도는 19-23도, 최대 온도는 26-32도로 전망된다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"단지 차이를 보여주기 위해 서울시와 용산구를위한 공원과 자금을 만들기 위해서, 사실, 공원은 형성되기까지 상당한 시간이 걸릴 것으로 예상된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"뉴욕 타임즈는 ""이번 주 회의는 1994년 이후 가장 큰 금리 인프라를 논의하는 것으로 보인다""며 CNBC는 또한 0.75% 상승 가능성을 예측했다.",예측형,긍정,과거,확실,예측형-긍정-과거-확실
성장률은 ‘정상적인’ 수준으로 예상 되었다.,예측형,긍정,과거,불확실,예측형-긍정-과거-불확실
"지금까지 RM가 아티스트의 상품을 구입한 것으로 알려져 있지만, 풀 타임 컬렉터가 될 가능성이 높겠다.",예측형,긍정,현재,불확실,예측형-긍정-현재-불확실
"Kakaogames의 예측 ""Oumamusme Pritiderby""는 20일 오전 11시에 출시된다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
"O2O 플랫폼 업계를 호스팅하는 것은 하루 플레이어의 1위와 2위이며, 작년에 인수와 통합을 통해 함께 성장하거나 미래에 집중하는 것은 그들 사이의 경쟁의 전망이 더욱 격렬해질 것이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
지배 토큰의 발행 및 분산을 통해 감시 노드의 수를 늘리고 개발자를 격려할 계획이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
행정 계획이 종료되면 7 월부터 총 수익 환불율이 허용하는 한계 내에서 연간 임금의 1.5 ~ 2 배에 도달 할 수있는 신용 대출이 가능할 것으로 예상된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
전망 강수량은 5 ~ 40 mm이며 남서부 해안과 남서부의 내부와 외부에 5 mm의 비가 내릴 것이다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
그러나 석유 정제 산업의 경우 국제 해상기구 규정이 2020 년부터 기존 3.5 %에서 0.5 %로 선박의 황소 함량을 감소시킬 것이며 작년 4 분기부터 약간 증가 할 것으로 전망된다.,예측형,긍정,현재,불확실,예측형-긍정-현재-불확실
"사용자의 생물 정보에서 선호 정보에 이르기까지, 맞춤형 전략이 그 전략에 따라 AI가 권장된 알고리즘을 사용하여 맞춤형식이 요법과 운동 코칭 서비스를 제공할 수 있겠다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
지금까지 생산 부족에 대한 책임은 단지 일부 회사에 불과했지만 미래에 피해가 자동차 산업에 퍼질 것으로 예상된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"토요일 4일, 전국은 일반적으로 명확하지만, 중앙 지방은 아침에 구름이 될 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
