문장,유형
박 회장은 1년 1월 경부고속도로 대전공구 시험계장으로 발령을 받는다,사실형
국내 게임업계에서 신종 코로나바이러스 감염증코로나1 환자가 발생했다,사실형
코로나1는 인류에게 많은 변화를 요구하고 있다,사실형
또 자유공정혁신연대를 1대 정책 기조로 잡고 경제운용 중심축을 정부에서 민간으로 바꿔 저성장을 극복하고 성장과 복지 선순환을 도모한다는 목표를 세웠다,사실형
젊은 층 외지인 수요가 몰리면서 집값이 하늘을 모르고 치솟았다,사실형
이에 따라 대형 콘서트부터 야외 페스티벌 실내 공연 등 연이어 오픈 소식이 들려오고 있다,사실형
결국 관군에게 쫓기다가 빗발치는 화살을 맞고 쓰러진 임꺽정은 죽어가면서 서림아 서림아 끝내 투항할 수가 있느냐고 원통해했다,사실형
대통령이 의장을 맡는 정부 규제혁신 최고결정기구인 규제혁신전략회의가 신설된다,사실형
당첨번호 1개를 맞힌 1등은 1명으로 각 1만1원을 당첨번호 1개를 맞힌 1만1명은 고정 당첨금 1만원을 받는다,사실형
경찰에 따르면 레미콘 차량은 백양터널에서 교차로 방향으로 내리막길 주행 중 교각을 들이받았다,사실형
박탈성 건선은 은백색 각질과 붉은 반점이 전신에 나타나는데 이 건선은 심한 형태의 건선으로 치료를 받아도 예후가 좋지 않다고 한다,사실형
그 대표적인 게 한국판 a 행사다,사실형
이어 그냥 나만 조용히 빠지면 된다고 생각했는데 문제가 커진 것 같다고 덧붙이며 대상 수상자가 괜히 피해보는 일은 없었으면 좋겠다고 썼다,사실형
건강보험정책연구원은 상병수당 제도가 전면 도입되면 수당 모형별로 매년 1억1조1억원의 예산이 소요된다고 1년 추산한 바 있다,사실형
최근 순위가 강남권에서 비강남 지역으로 뒤바뀐 것이다,사실형
이어 안 될 게 뻔하니까 일어날 수 없는 일이니까 안 만나겠다고 했죠라고 말해 모두를 폭소하게 만들었다,사실형
안성부원군 이숙번은 어린 광묘세조의 사후 별칭를 보고 어린애의 눈동자가 너무도 그의 할아버지를 닮았구나 모쪼록 형제끼리 우애 있게 지내고 너의 할아버지만은 본받지 말기 바란다고 했다,사실형
장기적으로는 유능한 인재의 유입이 줄어들어 전체적인 업계 경쟁력 저하로 이어질 가능성이 높다,사실형
1월에는 1만1건으로 1만건을 조금 넘기는 데 그쳤다,사실형
농협중앙회은 1일 오전 1시 1분부터 서울 중구 농협중앙회 대강당에서 전국 조합장 1명 가운데 대의원 1명이 참여해 선거가 진행된다고 밝혔다,사실형
1대에 들어서 가장 중요한 생애설계 과업은 바로 결혼이다,사실형
여기에 사전거래계획서도 제출해야 하는 등 강도 높은 공시 규제를 적용 중이다,사실형
위헌심판까지 청구될 정도로 과격한 11 부동산대책을 전격 발표한 사실만으로도 안정돼 있지 못한 사실을 인정한 셈이다,사실형
리그 선두권 진입이 물 건너간 상황에서 a컵이라도 좋은 결과를 내기 위함이다,사실형
많은 어려움이 있었지만 그럼에도 불구하고 한길만을 묵묵히 걸어왔던 것은 나처럼 대체 의약품이 필요한 사람들이 많다는 사실을 알았기 때문이고 또 앞으로 더 많아질 것을 예상했기 때문이다,사실형
a하나은행은 a 본부를 신설하고 본부 산하에 투자전략부a부손님투자분석센터를 둬 모니터링과 리스크 관리 기능을 강화하기로 했다,사실형
한국공인중개사협회 관계자는 공인중개사 자격증은 충분히 포화 상태라며 자격증을 딴 누적 인원은 1만명인데 중개업을 하는 사람은 1만여 명으로 1만명이 자격증을 활용하지 못하고 있다고 말했다,사실형
한국 중산층 생활수준이 보통 수준이라고 응답한 이들 대부분마저 정부 정책에는 만족스럽지 않다고 한 것이다,사실형
이에 a씨는 징역 1년에 집행유예 1년을 확정받았다,사실형
이번 행사와 관련하여 미래콘텐츠재단 측은 올해는 포스트코로나를 맞는 원년인 동시에 게임인재단이 미래콘텐츠재단으로 진화를 선포한 해이기도 하다라면서 대회에도 이러한 변화상을 반영하기 위해 노력한 결과 기존의 온라인 요소를 유지하면서도 오프라인 요소를 강화하는 데 중점을 뒀다고 밝혔다,사실형
또 외과를 출입구에 가장 가까운 곳에 배치했다,사실형
윤석열 대통령은 이날 회의에서 어려울수록 또 위기에 처할수록 민간 주도 시장 주도로 우리 경제의 체질을 완전히 바꿔야 한다며 정부는 민간의 혁신과 신사업을 가로막는 낡은 제도 법령에 근거하지 않은 관행적인 그림자 규제 이런 것들을 모조리 걷어낼 것이라고 말했다,사실형
한편 작년 수능에서 선택과목별 세부통계를 공개하지 않으면서 합격선 예측에 큰 어려움을 겪었을 것으로 확인됐다,사실형
한 회장은 사드 배치로 양국 긴장이 고조됐을 때 양국관계 회복에 중요한 역할을 한 공로로 지난 1년 문재인 전 대통령으로부터 수교훈장을 받았다,사실형
대낮에 침으로 핏줄을 찔러 벌레를 잡아냈고 병도 조금씩 나았다,사실형
모용운은 후연의 왕 모용보의 양자다,사실형
특히 이더리움이 최근 큰 하락세를 보이는 것은 이더리움 기반 탈중앙화금융디파이에서 판매되는 파생상품이 청산될 위기에 놓였기 때문인 것으로 알려지면서 가상화폐 가격이 연쇄적으로 추락하는 상황까지 예고된다,사실형
1년 배혜정 누룩도가로 상호를 바꾸고 본격적으로 사업을 확장했다,사실형
상품은 1조원 한도로 판매되며 가입기간은 1년 또는 1년으로 선택할 수 있다,사실형
고용노동부와 금융감독원이 발표한 1년 퇴직연금 적립금 운용현황 통계에 따르면 지난해 말 기준 퇴직연금 적립금 규모는 1조1억원이다,사실형
대사증후군은 한마디로 음식을 섭취하면 그것을 에너지로 바꿔주고 남은 노폐물은 체외로 배출시키는 대사작용이 잘 되지 않는 상태이다,사실형
스마일게이트는 지난 1월 1일 툰스푼의 대대적인 서비스 페이지 리뉴얼을 실시했다,사실형
그러나 미숙아 만성호흡기질환 선천 심장병 선천 면역결핍질환 암환자 등의 고위험 여아와 소아는 증상이 심하고 중증으로 진행될 위험이 높다,사실형
그는 후문을 통해 건물 내부로 들어가려 했지만 노조와 대치했다,사실형
유급휴가를 최대 1일까지 주는 사업장 근로자는 1일째부터 상병수당을 받는다,사실형
그는 부동산 추가 대책은 당장 가시적으로 방안을 만들고 있지는 않다며 다만 모니터링을 하며 부처 간 협의는 진행하고 있다고 밝혔다,사실형
고혈압은 동맥 경화로 이어지기 쉽다,사실형
내장된 게임은 1종으로 새로운 게임도 다운로드 받을 수 있다,사실형
그러나 우리는 그 정보의 기본적인 사실의 검증도 없이 단순한 의혹 제기만으로 확대 해석하고 자기 편향적인 시각과 왜곡된 확장된 해석으로 정보를 소비하는 오류를 범하기 쉬운 상태이다,사실형
1심은 유죄 선고를 받았지만 이를 뒤집은 판결만 해도 1건이었다,사실형
역대 무역 1조달러를 달성한 나라는 한국을 포함한 1개국이며 1년 연속 1조달러를 달성한 국가는 1개국에 불과하다,사실형
이어 배우의 사생활 보호와 피해를 방지하기 위해서 취합한 자료를 바탕으로 법적 대응을 취할 것이라고 강조했다,사실형
또 자식을 잃은 피해 부모 마음을 선뜻 헤아리기조차 어렵다며 피해자 측이 피고인에 대한 엄벌을 지속적으로 탄원하고 있다고 덧붙였다,사실형
정부는 코로나1 유행상황을 안정적으로 관리하기 위해 1일 격리 의무를 오는 1일부터 다음달 1일까지 1주간 유지하기로 결정했다고 1일 밝혔다,사실형
경제활동 과정에서 발생하는 수수료는 메이플스토리 유니버스 생태계 기여자들과 넥슨에 보상으로 분배되는 방식이다,사실형
직장 때문에 서울에 올라온 그는 비교적 저렴한 잠실 아파트에서 전세살이를 시작했다,사실형
당시 이하늬는 트로피를 들고 봉준호 감독 기생충 출연 배우들과 함께 찍은 사진을 올리며 누가 보면 내가 상탄 줄 그런데 정말 그만큼 기쁘다 오늘 잠은 다 잤다라는 글을 게재했다,사실형
그간 행안부 장관의 경찰 조직에 대한 권한은 인사에 대한 제청권 정도에 머물렀지만 앞으로는 법무부 장관과 검찰총장 간 관계처럼 행안부 장관이 경찰청장에 대한 수사지휘권을 발동시킬 수 있는 근거가 된다는 얘기다,사실형
전작 미르1의 성과를 뛰어넘는 것은 물론 오랫동안 흥행 성과를 유지한다는 목표다,사실형
그러다 1년 팔자로 돌아섰다,사실형
노후 차도 고장 난 후에 가는 사후정비가 수술이라면 고장 전에 가는 사전정비는 예방주사이다,사실형
전염병에 걸리면 환자를 격리시켜 자연스럽게 죽도록 방치했다,사실형
이어 그동안 소속 가수를 상대로 한 모욕 행위 허위사실 유포 행위 등에 대해 선처 없이 적극적으로 법적 조치를 취해왔고 법원에서는 징역형과 벌금형 등의 처벌을 내린 바 있다면서 일회성 대응에 그치지 않고 전담팀은 상시 모니터링과 팬들의 제보를 바탕으로 악성 댓글 게시자를 지속해서 추적해 추가 고소를 준비 중이라고 경고했다,사실형
홍혼이 법에 따라 후궁 친족의 묘를 파내버리자 관찰사가 이를 듣고 놀라고 주위에서 모두 몸을 떨었다,사실형
1월 1일 실시간 a의 플레이 감각을 날카롭게 벼려보자 강연에선 프라시아 전기 안에서 벌어지는 실시간 전쟁 과정에서의 플레이 경험을 높이고자 시도한 네트워크 지연 극복 노력을 공개한다,사실형
내부에선 금동관 귀걸이 허리띠 장식 환두대도고리자루칼 등 수준 높은 신라 위세품이 수습됐다,사실형
하락 요인 중 첫손가락에 꼽히는 것은 금리 인상이다,사실형
지난 1년부터 국순당에서 출시하기 시작한 백세주가 올해로 출시 1주년을 맞게 되었으며 출시 후 지금까지의 누적 판매량은 총 1억 병에 이른다고 한다,사실형
위메이드가 고안한 네이트 프로토콜a a과 스마트 계약 시스템에 따라 독립적인 커뮤니티를 만들고 투명하게 운영할 수 있도록 설계됐다,사실형
유교 윤리가 짓누르고 있는 한국과 일본에서는 유독 혼외자녀 비율이 낮다,사실형
아이템 및 스피드 카트 캐릭터 펫 고글 페인트 등 총 1가지 카테고리 아이템을 1일간 매일 제공한다,사실형
이 같은 경험을 바탕으로 이명박정부에서 대통령비서실 경제금융비서관도 지냈고 a와 a에서 글로벌 네트워크도 쌓았다,사실형
토머스는 1년 제주에서 열린 더 a컵 초대 대회에서도 우승한 바 있다,사실형
기생충은 각본감독상은 물론 최고의 영예인 작품상 후보로도 조심스럽게 거론되고 있다,사실형
그렇다고 이런 거대한 변화를 무시할 수 없다,사실형
치료 시기를 놓치면 증상이 점차 악화할뿐더러 심한 경우 실명으로 이어질 수 있다,사실형
일본은 최고 1 1단계 누진세율을 적용하고 있다,사실형
즉 예측 가능성이 핵심이다,사실형
수출 규제로 일본이 자처한 일이라며 속좁게 말할 일이 아니다,사실형
예를 들어 1년 이상문학상 우수상 수상작이었던 장강명 소설가의 현수동 빵집 삼국지는 그해 1월 출간된 소설집 산 자들의 네 번째 작품으로 수록됐다,사실형
달시 파켓은 기생충의 뉘앙스와 상징성을 잘 살린 번역으로 호평을 받았다,사실형
금리 인상에 따라 비대면 채널 가입 시 정기예금의 경우 11 회전정기예금은 11를 각각 적용한다,사실형
화순옹주가 혼사를 치르고 시댁 사당에 예를 올리는데 시녀가 옆에서 부축하자 시아버지 김흥경이 예에 맞지 않는다며 이를 금지시켰다,사실형
스마트 팩토리 아카데미는 스마트 팩토리를 추진할 전담 인력 양성을 위한 기초 교육과정으로 지난해 당진제철소에서 1기 수료생 1명 배출했다,사실형
정부가 반도체 관련 학과 정원 확대를 통해 반도체 드라이브를 걸고 있는 가운데 정작 학계와 업계에서는 정책 실효성에 대한 의문이 커지고 있다,사실형
콜오브듀티 월드오브워크래프트 기타히어로 a 히어로 마블 스트라이크 포스 스카이랜더스 등의 대작 게임을 개발한 베테랑들이 설립했으며 사용자 소유 경제에 기반한 게임 개발에 특화됐다,사실형
지난 1년의 오랜 세월 동안 우리 육군의 기동전사로 임무를 수행해오다 퇴역한 a1a을 대체하고 있는 a1 수리온은 a1과 더불어 병력수송 화물공수 등의 임무 수행을 위해 개발된 다목적 기동헬기이다,사실형
1년 사스 사망률은 1대였지만 아직은 1 미만이다,사실형
현재 연 소득 범위 내로 제한된 신용대출 한도 규제도 1월 1일부터 폐지된다,사실형
소형무장헬기a a a 이하 a는 육군의 노후화 된 공격헬기 대체를 목적으로 현대전장에 적합한 무장헬기를 개발하는 사업이며 동시에 소형민수헬기a a a 이하 a도 개발되고 있다,사실형
기체 크기에 맞는 힘을 가진 엔진이 장착되어 비행하지만 비행환경과 다양한 공기역학 요인에 큰 영향을 받는다,사실형
전문가들은 당분간 미아뉴타운을 중심으로 강북구 집값 상승세가 이어질 것으로 내다본다,사실형
합성비타민a는 사실 아스코르브산a a이라는 물질인데 오렌지 겉껍질의 성분과 거의 비슷하다,사실형
버락 오바마 전 미국 대통령은 초등학생이 숨진 테러 현장에서 눈물을 훔쳤고 테리사 메이 전 영국 총리도 사임 발표 기자회견에서 끝내 울음을 터뜨렸다,사실형
이 칠판을 이용해 여러 존 교실의 칠판에 적힌 내용을 함께 공유하는 곳이 바로 허브 교실이다,사실형
지금 한반도 남쪽에는 명태가 살지 않는다,사실형
엔씨소프트는 참여자에게 추가로 오는 1월 1일 보상 쿠폰도 증정한다,사실형
아내의 시신을 직접 염하고 영상으로 촬영했다,사실형
지금은 1번 발사하면 1번 회수하는 높은 성공률을 기록 중이다,사실형
또 조 교육감은 곽노현 전 서울시교육감이 이사장으로 있는 징검다리교육공동체가 모의 선거교육에 참여하면서 정치 편향성 논란이 제기되는 것에 대해서는 예정대로 추진할 뜻을 밝혔다,사실형
우리는 누구나 자라면서 환경에 지배를 받으며 살아간다,사실형
출연진은 저마다 동치미와 얽힌 사연을 이야기하며 입담을 뽐냈다,사실형
자전거 역시 방송에 등장한 것과 사진 속 자전거 색상이 동일했다,사실형
루쉰은 1년 아큐정전a을 쓴다,사실형
체온풍 모드에 청정 기능을 동시 작동할 수 있어 냉방 청정 일반 청정 체온풍 청정을 기온에 따라 설정할 수 있다,사실형
아랍인들과 유대인들은 성지이자 고향을 쟁탈하기 위해 치열하게 싸우고 있다,사실형
여기에 화이트데이를 맞이해 게임에 접속만 해도 영혼파편을 포함한 각종 아이템을 지급하고 누적 출석일에 따라 파티 바니걸 마리아 코스튬과 다이아 골드 등의 보상을 제공하는 이벤트도 1일까지 열린다,사실형
보장한도는 각각 1만원 1만원 1만원이며 보장횟수는 각각 1회 1회 무제한이다,사실형
립틴트1 신장 쉐이딩1 블러셔1 순으로 높은 신장률을 기록했다,사실형
금융위는 이와 함께 일명 마이 페이먼트a a 산업 활성화에도 본격적으로 나설 방침이다,사실형
요제프 프리츨 악마의 얼굴을 참고했다면서 봉 감독은 내용은 전혀 관계없고 그 집 지하 벙커 구조 등 일부 이미지를 차용했다고 말했다,사실형
1년까지 리딩뱅크 자리를 지켰던 a금융은 지난해 신한금융에 역전당했다,사실형
프리미어리그 사무국은 1일한국시간 홈페이지를 통해 1월 이달의 골 후보를 발표했다,사실형
한국 여자 대표팀은 1일 인도네시아공동 1위 1일 이란공동 1위 1일 카자흐스탄1위과 예선을 치른다,사실형
중국에서 제작된 게임답게 끊임없이 보상을 제공하며 이용자를 이끄는 점도 특장점이다,사실형
재범의 경우 형의 절반을 가중처벌한다는 내용도 포함됐다,사실형
그는 아카데미상 후보 지명 소감을 묻자 당시 인셉션 같다며 재치있게 답했다,사실형
처음에는 재미로 시작했지만 그 안에 시간과 공간 존재와 기억 같은 요소가 숨겨져 있다는 것,사실형
서오릉은 서울 서쪽 즉 경기도 고양시 덕양구에 있는 조선 왕실의 왕릉군이다,사실형
라이브커머스 스튜디오는 박람회 현장에 마련된다,사실형
서킷브레이커는 지난 1년 1월 1일에 도입됐는데 같은 해 1월 11일 발동돼 시장 마비 소동이 일어난 바 있다,사실형
또한 동물실험 세포실험에서 바이러스 증식 억제 효과를 보인 약을 사용한다,사실형
허둥지둥 달아나면서 목숨보다 소중하게 받들던 종묘의 신주까지도 놔두고 달아나는 일까지 발생했다,사실형
실제 더불어시민당에 이적한 더불어민주당 비례 후보들 불만이 팽배하다,사실형
카카오게임즈 관계자는 완성도 높은 게임성과 재미를 국내 환경에 맞게 선보일 수 있도록 막바지 작업 중이다며 국내 모바일 게임의 한 축이 되는 게임으로 거듭나길 기대하고 있다고 말했다,사실형
국내 연구진도 1년부터 a에 합류해 한국인 암 연구에 유의미한 성과를 냈다,사실형
지난 1월 싱가포르 국부펀드 테마섹이 셀트리온과 셀트리온헬스케어 주식을 대량으로 매각했다,사실형
논란을 빚은 계약서상 문구는 관행일 뿐이라고 문학사상사 측은 해명했다,사실형
하이트진로 직원들과 경찰 1개 중대가 현장 통제에 투입됐으나 교통혼잡은 수시로 빚어졌다,사실형
넷마블은 이날 애플 앱스토어 사전등록을 시작으로 서비스 준비를 본격화한다,사실형
전라남도는 1년 개교하는 한전공대와 방사광 가속기를 연계해 세계적인 산학연 클러스터를 조성하려고 구상하고 있다,사실형
요즘 셔츠를 입는 방식은 크게 두 가지인데 포멀 셔츠를 몸에 꼭 끼게 입거나 오버 핏으로 느슨하고 편하게 입는 식이다,사실형
앞서 금감원은 손 회장과 함 부회장에 대한 징계를 놓고 이미 두 차례 제재심을 열었으나 결정을 내리지 못했다,사실형
이용 가능한 서비스로는 먼저 a을 통한 현금 및 수표 입출금 체크카드 및 보안매체보안카드 카드형a 발급 등이다,사실형
카로슈의 베스트 공략 및 베스트 팬아트로 선정될 경우 1만 테라를 선물한다,사실형
사상자가 대량으로 발생했기 때문이다,사실형
올 상반기 식음료 업계가 주목한 것은 우유다,사실형
샤론 최씨도 그렇다 영화감독을 하고 싶다고 말하자 진행자들은 내년 시상식에서 감독으로 봤으면 좋겠다고 덕담하기도 했다,사실형
내국법인이 중견기업일 경우에는 1 중소기업의 경우 1로 더 높은 세액 공제율이 적용된다,사실형
교육부가 1년 1월부터 a라는 이름의 학생 창업 교육 프로그램을 내놓았지만 실적을 쌓지 못했다,사실형
카카오도 이미 카카오톡 앱 내에서 주문하기 서비스를 운영하고 있다,사실형
다만 본인이 애정 있는 몇몇 영화에 제작자로 이름을 올릴 뿐이다,사실형
차천로는 황제가 고구려의 왕을 의미한다고 적었지만 고구려가 직접 황제를 칭했다는 기록이 없어 아리송하다,사실형
연초 회견에서 문재인 대통령은 퇴임 뒤엔 잊히고 싶다고 했다,사실형
노송나무가 꺾인 것이 그 징조였다,사실형
그들은 이야기를 나눈다,사실형
엔씨소프트대표 김택진는 a a 블레이드소울에 신규 각성 계열 음양을 추가했다,사실형
특출난 영재보다는 평균이 높은 범재들만 키워내고 있는 것이다,사실형
이는 수혈 전 혈액제제를 담은 혈액백에 방사선을 조사함으로써 a림프구 활동을 비활성화하는 장비다,사실형
지난 1일 유튜브 채널 한문철a에는 목격자의 블랙박스 제보로 과실 비율이 바뀔 수 있게 된 차 사고 영상이 게재됐다,사실형
연장 1차전에서는 세 명 모두 버디 그리고 1차전에서 두 번째 샷이 벙커에 빠진 유소연이 먼저 탈락했다,사실형
백 년 묵은 옛 칼은 자루는 있으되 날이 없고 삼대를 내려온 깨진 총은 불을 질러도 소리가 나지 않는다,사실형
상그레이는 기존 제품보다 용량이 커서 한 번에 조사할 수 있는 혈액제제 수량이 많아 업무 효율이 높다,사실형
이 소식을 듣고 명나라 제독 이여송이 조선의 의복이 옛날 제도에 가까운데 무슨 이유로 지금의 중국을 본받아 고치려 하느냐고 제지했다,사실형
공공시설물 위치 및 관리 상태 파악 도심의 교통량 분석 도로의 배수량 예상 도시 정비 계획 수립도 가능하다,사실형
서울고검 갈등치유팀은 a씨에게 구청시청 층간소음 분쟁조정위원회를 소개하고 경찰이나 대한법률구조공단의 도움도 가능하다는 점을 안내했다,사실형
프로파일러 권일용은 변태적인 성욕을 아내에게 풀어왔고 아내가 사망하자 대신할 존재를 물색한 것이라고 분석했다,사실형
또 이를 모두 아우르는 a 중심 생태계인 메이플스토리 유니버스를 설계 중이라고 강조했다,사실형
용산구청 관계자는 재정이 열악한 지자체로서는 1억원을 마련할 수 없다며 서울시가 전액 부담해야 한다고 강조했다,사실형
표 회장은 한상대회를 계기로 전 세계 한민족 한상들이 똘똘 뭉쳐 민족 번영의 네트워크를 구축해야 한다며 오는 1월 선양에서 열리는 운영위원회에서 참석자들과 의논과 토론을 거쳐 구체적인 행사 개최 방안을 결정하겠다고 말했다,사실형
